nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT04305236,6,2020,1,573.0,2,4,0,0.6931471805599453,1,1,0,1,8.704833909687792,1,0,0,1,0,0,0,0.005494505494505495,0,0,0,0,0,182
NCT04305236,12,2020,1,573.0,2,4,0,0.6931471805599453,1,1,0,1,8.704833909687792,1,0,0,1,0,0,0,0.0027472527472527475,0,0,0,0,0,364
NCT01735071,3,2013,0,1721.0,2,4,0,4.276666119016055,2,1,0,2,8.246433786160365,1,0,0,7,0,0,0,0.7802197802197802,0,0,0,0,0,91
NCT01735071,6,2013,0,1721.0,2,4,0,4.276666119016055,2,1,0,2,8.246433786160365,1,0,0,7,0,0,0,0.3901098901098901,0,0,0,0,0,182
NCT01735071,12,2013,0,1721.0,2,4,0,4.276666119016055,2,1,0,2,8.246433786160365,1,0,0,7,0,0,0,0.19505494505494506,0,0,0,0,0,364
NCT00006244,3,2000,0,5904.0,2,4,0,3.6109179126442243,1,1,0,4,7.86172707782398,1,0,1,1,0,0,0,0.3956043956043956,0,0,0,0,0,91
NCT00006244,6,2000,0,5904.0,2,4,0,3.6109179126442243,1,1,0,4,7.86172707782398,1,0,1,1,0,0,0,0.1978021978021978,0,0,0,0,0,182
NCT00006244,12,2000,0,5904.0,2,4,0,3.6109179126442243,1,1,0,4,7.86172707782398,1,0,1,1,0,0,0,0.0989010989010989,0,0,0,0,0,364
NCT02162563,3,2014,0,3837.0,3,4,0,6.274762021241939,4,2,1,1,7.679251425953058,1,0,0,56,0,0,0,5.824175824175824,0,0,0,0,0,91
NCT02162563,6,2014,0,3837.0,3,4,0,6.274762021241939,4,2,1,1,7.679251425953058,1,0,0,56,0,0,0,2.912087912087912,0,0,0,0,0,182
NCT02162563,12,2014,0,3837.0,3,4,0,6.274762021241939,4,2,1,1,7.679251425953058,1,0,0,56,0,0,0,1.456043956043956,0,0,0,0,0,364
NCT01252693,3,2010,0,1642.0,2,0,1,5.318119993844216,2,1,0,1,7.516977224604321,1,0,0,3,0,0,0,2.230769230769231,0,0,0,0,0,91
